timestamp,source_ip,dest_ip,protocol,frame_length,src_port,dst_port,udp_src_port,udp_dst_port,ip_length
frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.len
"1735855485.550230000","192.168.1.14","102.31.137.53","17","77",,,"63595","42379","63"
"1735855485.568291000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.590734000","192.168.1.14","102.31.137.53","17","752",,,"63595","42379","738"
"1735855485.611887000","102.31.137.53","192.168.1.14","17","252",,,"42379","63595","238"
"1735855485.612208000","192.168.1.14","102.31.137.53","17","126",,,"63595","42379","112"
"1735855485.619294000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855485.621347000","102.31.137.53","192.168.1.14","17","1223",,,"42379","63595","1209"
"1735855485.621794000","102.31.137.53","192.168.1.14","17","1223",,,"42379","63595","1209"
"1735855485.622538000","102.31.137.53","192.168.1.14","17","1223",,,"42379","63595","1209"
"1735855485.622937000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.623582000","102.31.137.53","192.168.1.14","17","1224",,,"42379","63595","1210"
"1735855485.623582000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.630345000","192.168.1.14","102.31.137.53","17","121",,,"63595","42379","107"
"1735855485.635048000","192.168.1.14","157.240.203.21","17","62",,,"63595","3478","48"
"1735855485.649199000","192.168.1.14","102.31.137.53","17","126",,,"63595","42379","112"
"1735855485.655789000","192.168.1.14","102.31.137.53","17","880",,,"63595","42379","866"
"1735855485.668578000","192.168.1.14","102.31.137.53","17","130",,,"63595","42379","116"
"1735855485.671738000","102.31.137.53","192.168.1.14","17","223",,,"42379","63595","209"
"1735855485.671738000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855485.688016000","157.240.203.21","192.168.1.14","17","86",,,"3478","63595","72"
"1735855485.688656000","102.31.137.53","192.168.1.14","17","1002",,,"42379","63595","988"
"1735855485.689095000","102.31.137.53","192.168.1.14","17","1002",,,"42379","63595","988"
"1735855485.690270000","192.168.1.14","102.31.137.53","17","115",,,"63595","42379","101"
"1735855485.698421000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855485.699484000","102.31.137.53","192.168.1.14","17","1002",,,"42379","63595","988"
"1735855485.699484000","102.31.137.53","192.168.1.14","17","1002",,,"42379","63595","988"
"1735855485.704349000","192.168.1.14","102.31.137.53","17","617",,,"63595","42379","603"
"1735855485.710217000","192.168.1.14","102.31.137.53","17","117",,,"63595","42379","103"
"1735855485.717874000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.727012000","102.31.137.53","192.168.1.14","17","210",,,"42379","63595","196"
"1735855485.728631000","192.168.1.14","102.31.137.53","17","117",,,"63595","42379","103"
"1735855485.749068000","192.168.1.14","102.31.137.53","17","118",,,"63595","42379","104"
"1735855485.757098000","102.31.137.53","192.168.1.14","17","1175",,,"42379","63595","1161"
"1735855485.757668000","102.31.137.53","192.168.1.14","17","1176",,,"42379","63595","1162"
"1735855485.765109000","192.168.1.14","102.31.137.53","17","393",,,"63595","42379","379"
"1735855485.766583000","102.31.137.53","192.168.1.14","17","1176",,,"42379","63595","1162"
"1735855485.767044000","102.31.137.53","192.168.1.14","17","1176",,,"42379","63595","1162"
"1735855485.767435000","102.31.137.53","192.168.1.14","17","1176",,,"42379","63595","1162"
"1735855485.770173000","192.168.1.14","102.31.137.53","17","118",,,"63595","42379","104"
"1735855485.774540000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.775955000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855485.784857000","102.31.137.53","192.168.1.14","17","286",,,"42379","63595","272"
"1735855485.790171000","192.168.1.14","102.31.137.53","17","111",,,"63595","42379","97"
"1735855485.808586000","192.168.1.14","102.31.137.53","17","115",,,"63595","42379","101"
"1735855485.821624000","102.31.137.53","192.168.1.14","17","84",,,"42379","63595","70"
"1735855485.829072000","192.168.1.14","102.31.137.53","17","109",,,"63595","42379","95"
"1735855485.829150000","192.168.1.14","102.31.137.53","17","710",,,"63595","42379","696"
"1735855485.843099000","102.31.137.53","192.168.1.14","17","264",,,"42379","63595","250"
"1735855485.850040000","192.168.1.14","102.31.137.53","17","111",,,"63595","42379","97"
"1735855485.854076000","102.31.137.53","192.168.1.14","17","1038",,,"42379","63595","1024"
